                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.38661,                0.41984,                0.92752,                0.95359,                0.96965,                0.95485,                0.97249,                0.93155,                0.96965,                0.95485,                0.97249,                0.94723,                0.38102,                0.28941,                0.45068,                0.86328,             0.00060505,             0.00060505,             0.00060505
                     26,                0.41194,                0.42611,                0.96469,                0.95454,                0.96519,                0.93687,                0.97177,                 0.9341,                0.96519,                0.93687,                0.97177,                0.96069,                0.31508,                0.20431,                0.41082,                0.81127,             0.00058305,             0.00058305,             0.00058305
                     27,                0.38347,                0.34253,                0.92545,                0.93735,                0.85382,                0.96611,                0.96472,                0.92155,                0.85382,                0.96611,                0.96472,                0.94827,                0.33365,                0.22443,                0.44413,                0.83079,             0.00056105,             0.00056105,             0.00056105
                     28,                0.35791,                0.33703,                 0.9128,                0.93235,                0.93539,                0.94928,                0.97456,                0.94338,                0.93539,                0.94928,                0.97456,                0.95989,                0.25705,                0.22233,                0.41488,                0.77504,             0.00053906,             0.00053906,             0.00053906
                     29,                0.35581,                0.35763,                0.92371,                0.93321,                0.90917,                0.96347,                0.97073,                0.94864,                0.90917,                0.96347,                0.97073,                0.95725,                  0.275,                0.20852,                0.42762,                0.78939,             0.00051706,             0.00051706,             0.00051706
                     30,                0.35196,                 0.3314,                0.88125,                0.93503,                0.92059,                0.94261,                0.96739,                0.95237,                0.92059,                0.94261,                0.96739,                0.95488,                0.26278,                0.23041,                0.61601,                0.76928,             0.00049506,             0.00049506,             0.00049506
                     31,                0.32061,                0.32039,                0.84885,                0.92147,                0.95696,                0.93845,                0.97652,                0.95612,                0.95696,                0.93845,                0.97652,                0.96503,                0.23981,                0.20591,                0.36997,                0.76619,             0.00047306,             0.00047306,             0.00047306
                     32,                 0.3229,                0.32757,                0.86941,                0.91892,                0.95827,                0.89418,                0.97253,                0.95843,                0.95827,                0.89418,                0.97253,                0.96173,                0.23105,                0.18357,                0.37902,                0.75337,             0.00045107,             0.00045107,             0.00045107
                     33,                0.31027,                0.30383,                0.85462,                0.92993,                0.95859,                0.93276,                0.98256,                0.96059,                0.95859,                0.93276,                0.98256,                0.97198,                0.24432,                0.19084,                0.43022,                0.75997,             0.00042907,             0.00042907,             0.00042907
                     34,                 0.3236,                0.28696,                0.83028,                0.94354,                0.96063,                0.93838,                0.97257,                0.95908,                0.96063,                0.93838,                0.97257,                 0.9655,                0.23884,                0.18215,                0.38014,                0.75114,             0.00040707,             0.00040707,             0.00040707
                     35,                0.32754,                 0.2967,                0.80367,                0.91889,                 0.9058,                0.95256,                0.97554,                0.95614,                 0.9058,                0.95256,                0.97554,                 0.9615,                0.24034,                0.19185,                0.41062,                0.75164,             0.00038507,             0.00038507,             0.00038507
                     36,                0.30936,                0.29553,                0.77736,                 0.9113,                0.95214,                0.95917,                 0.9873,                0.97019,                0.95214,                0.95917,                 0.9873,                0.97122,                 0.2481,                0.19913,                0.34395,                0.76668,             0.00036307,             0.00036307,             0.00036307
                     37,                0.30437,                0.28599,                0.74988,                0.91474,                0.96258,                0.99214,                0.98476,                0.96622,                0.96258,                0.99214,                0.98476,                0.97329,                0.21875,                0.18801,                0.31534,                0.74049,             0.00034108,             0.00034108,             0.00034108
                     38,                0.29329,                0.26297,                0.80316,                0.90506,                0.94699,                 0.9789,                0.98177,                 0.9692,                0.94699,                 0.9789,                0.98177,                0.97216,                0.22653,                0.20175,                0.33674,                0.74875,             0.00031908,             0.00031908,             0.00031908
                     39,                0.29736,                0.27933,                0.76237,                0.91909,                0.97233,                0.97205,                 0.9867,                0.97624,                0.97233,                0.97205,                 0.9867,                 0.9762,                0.21924,                0.18323,                0.28695,                0.75582,             0.00029708,             0.00029708,             0.00029708
                     40,                 0.2946,                 0.2465,                0.74933,                0.91325,                0.96233,                0.98623,                0.99335,                0.97711,                0.96233,                0.98623,                0.99335,                0.98251,                0.21163,                0.17665,                0.28549,                0.75229,             0.00027508,             0.00027508,             0.00027508
